label,channel_k,min,max,mean,sum
"Case 1 (WS, 3x3)",0,-130.865555,251.642609,-0.033456,-548.143433
"Case 1 (WS, 3x3)",1,-139.394165,262.702698,0.244436,4004.833252
"Case 1 (WS, 3x3)",2,-136.396790,274.064575,0.423230,6934.207520
"Case 1 (WS, 3x3)",3,-136.728500,265.420227,0.428735,7024.393555
"Case 1 (WS, 3x3)",4,-132.757034,271.143402,0.186533,3056.155029
"Case 1 (WS, 3x3)",5,-126.448807,267.325073,0.251837,4126.091309
"Case 1 (WS, 3x3)",6,-132.778564,263.720764,0.361985,5930.757324
"Case 1 (WS, 3x3)",7,-133.091339,254.754669,-0.686695,-11250.809570
"Case 1 (WS, 3x3)",8,-142.798996,260.329590,0.169380,2775.113770
"Case 1 (WS, 3x3)",9,-135.409821,265.430969,0.326046,5341.937012
"Case 1 (WS, 3x3)",10,-135.260269,258.715546,0.182141,2984.194824
"Case 1 (WS, 3x3)",11,-128.920441,259.293579,0.161817,2651.204590
"Case 1 (WS, 3x3)",12,-125.934837,256.955505,0.397761,6516.922852
"Case 1 (WS, 3x3)",13,-133.251694,261.218506,0.257478,4218.521484
"Case 1 (WS, 3x3)",14,-133.505463,255.337570,-0.578862,-9484.070312
"Case 1 (WS, 3x3)",15,-136.598450,260.630066,0.023102,378.508972
"Case 1 (WS, 3x3)",16,-137.727570,267.245209,0.377633,6187.144531
"Case 1 (WS, 3x3)",17,-137.651917,263.555573,0.474350,7771.752930
"Case 1 (WS, 3x3)",18,-128.693054,266.131165,0.223526,3662.252686
"Case 1 (WS, 3x3)",19,-126.989655,257.718109,0.472528,7741.902344
"Case 1 (WS, 3x3)",20,-133.505554,268.734894,0.149220,2444.824463
"Case 1 (WS, 3x3)",21,-133.054535,254.079147,0.212638,3483.860352
"Case 1 (WS, 3x3)",22,-135.500580,265.191528,-0.107701,-1764.574829
"Case 1 (WS, 3x3)",23,-134.076523,266.285248,0.482563,7906.319336
"Case 1 (WS, 3x3)",24,-133.994385,262.567200,0.580661,9513.556641
"Case 1 (WS, 3x3)",25,-130.069107,260.650238,0.208974,3423.829102
"Case 1 (WS, 3x3)",26,-128.533630,265.365112,0.234469,3841.538574
"Case 1 (WS, 3x3)",27,-137.051910,267.974854,0.154050,2523.952637
"Case 1 (WS, 3x3)",28,-136.339157,256.586609,-0.296233,-4853.475586
"Case 1 (WS, 3x3)",29,-134.967590,263.534271,-0.204704,-3353.871582
"Case 1 (WS, 3x3)",30,-130.773972,260.376465,0.406051,6652.742676
"Case 1 (WS, 3x3)",31,-133.832504,254.462631,0.300559,4924.359375
"Case 1 (WS, 3x3)",32,-132.720490,265.235291,0.241088,3949.988281
"Case 1 (WS, 3x3)",33,-133.354813,268.857605,0.276113,4523.840820
"Case 1 (WS, 3x3)",34,-138.715073,266.296387,0.152585,2499.951416
"Case 1 (WS, 3x3)",35,-135.139664,258.720398,-0.282075,-4621.523438
"Case 1 (WS, 3x3)",36,-136.539276,264.143005,-0.170702,-2796.776611
"Case 1 (WS, 3x3)",37,-125.981621,257.464478,0.239123,3917.792969
"Case 1 (WS, 3x3)",38,-131.047302,262.294617,0.421842,6911.463379
"Case 1 (WS, 3x3)",39,-134.826965,270.228088,0.461479,7560.875977
"Case 1 (WS, 3x3)",40,-134.494873,279.912079,0.291630,4778.066895
"Case 1 (WS, 3x3)",41,-133.086929,260.247284,0.265138,4344.020508
"Case 1 (WS, 3x3)",42,-133.730774,254.976837,0.302270,4952.385742
"Case 1 (WS, 3x3)",43,-132.685074,254.439026,-0.127193,-2083.924561
"Case 1 (WS, 3x3)",44,-125.919952,251.787369,0.367090,6014.400879
"Case 1 (WS, 3x3)",45,-133.310715,262.721893,0.429469,7036.421875
"Case 1 (WS, 3x3)",46,-135.961761,266.312225,0.362980,5947.056152
"Case 1 (WS, 3x3)",47,-134.966141,273.703094,0.317197,5196.948242
"Case 1 (WS, 3x3)",48,-137.051910,259.129028,0.107011,1753.262451
"Case 1 (WS, 3x3)",49,-141.706619,257.060394,-0.240197,-3935.388916
"Case 1 (WS, 3x3)",50,-128.410461,250.852890,-0.176433,-2890.676514
"Case 1 (WS, 3x3)",51,-126.653084,254.744598,0.224789,3682.944336
"Case 1 (WS, 3x3)",52,-135.190323,268.135498,0.482443,7904.353516
"Case 1 (WS, 3x3)",53,-132.749298,270.112030,0.083729,1371.820312
"Case 1 (WS, 3x3)",54,-134.076843,269.720490,0.323833,5305.676758
"Case 1 (WS, 3x3)",55,-135.987396,263.243530,0.225385,3692.715332
"Case 1 (WS, 3x3)",56,-134.497559,259.383118,-0.301748,-4943.840820
"Case 1 (WS, 3x3)",57,-128.991287,253.963745,-0.081626,-1337.359009
"Case 1 (WS, 3x3)",58,-130.653473,256.018463,0.117902,1931.714355
"Case 1 (WS, 3x3)",59,-139.651764,269.856415,0.471366,7722.859375
"Case 1 (WS, 3x3)",60,-137.651917,265.899689,0.356190,5835.820312
"Case 1 (WS, 3x3)",61,-134.494873,275.486389,0.271414,4446.846680
"Case 1 (WS, 3x3)",62,-129.151932,258.853577,0.345232,5656.273926
"Case 1 (WS, 3x3)",63,-132.926483,264.409607,0.301020,4931.918457
"Case 2 (IS, 3x3)",0,-130.865555,251.642609,-0.033456,-548.143433
"Case 2 (IS, 3x3)",1,-139.394165,262.702698,0.244436,4004.833252
"Case 2 (IS, 3x3)",2,-136.396790,274.064575,0.423230,6934.207520
"Case 2 (IS, 3x3)",3,-136.728500,265.420227,0.428735,7024.393555
"Case 2 (IS, 3x3)",4,-132.757034,271.143402,0.186533,3056.155029
"Case 2 (IS, 3x3)",5,-126.448807,267.325073,0.251837,4126.091309
"Case 2 (IS, 3x3)",6,-132.778564,263.720764,0.361985,5930.757324
"Case 2 (IS, 3x3)",7,-133.091339,254.754669,-0.686695,-11250.809570
"Case 2 (IS, 3x3)",8,-142.798996,260.329590,0.169380,2775.113770
"Case 2 (IS, 3x3)",9,-135.409821,265.430969,0.326046,5341.937012
"Case 2 (IS, 3x3)",10,-135.260269,258.715546,0.182141,2984.194824
"Case 2 (IS, 3x3)",11,-128.920441,259.293579,0.161817,2651.204590
"Case 2 (IS, 3x3)",12,-125.934837,256.955505,0.397761,6516.922852
"Case 2 (IS, 3x3)",13,-133.251694,261.218506,0.257478,4218.521484
"Case 2 (IS, 3x3)",14,-133.505463,255.337570,-0.578862,-9484.070312
"Case 2 (IS, 3x3)",15,-136.598450,260.630066,0.023102,378.508972
"Case 2 (IS, 3x3)",16,-137.727570,267.245209,0.377633,6187.144531
"Case 2 (IS, 3x3)",17,-137.651917,263.555573,0.474350,7771.752930
