label,strategy,H,W,C,K,R,S,stride,padding,TH,TW,TC,TK,OH,OW,dram_loads,dram_stores,sram_input_bytes,sram_weight_bytes,sram_psum_bytes,max_PE,sram_input_reads,sram_weight_reads,ps_buffer_reads,ps_buffer_writes,total_cycles
"Case 1 (WS, 3x3)",WS,128,128,1024,64,3,3,1,1,8,8,64,32,128,128,4128,512,25600,73728,8192,32,301989888,9663676416,9646899200,9663676416,301989888
"Case 2 (IS, 3x3)",IS,128,128,1024,64,3,3,1,1,8,8,64,32,128,128,4128,512,25600,73728,8192,32,301989888,9663676416,1072693248,1072693248,301989888
"Case 3 (OS, 3x3)",OS,128,128,1024,64,3,3,1,1,8,8,64,32,128,128,4128,512,25600,73728,8192,32,301989888,9663676416,15728640,15728640,301989888
"Case 4 (WS, big tile)",WS,128,128,1024,64,3,3,1,1,32,32,256,64,128,128,68,16,1183744,589824,262144,64,150994944,9663676416,9659482112,9663676416,150994944
"Case 5 (OS, big tile)",OS,128,128,1024,64,3,3,1,1,32,32,256,64,128,128,68,16,1183744,589824,262144,64,150994944,9663676416,3145728,3145728,150994944
"Case 6 (OS, 1x1)",OS,128,128,1024,128,1,1,1,0,16,16,128,64,128,128,528,128,131072,32768,65536,64,33554432,2147483648,14680064,14680064,33554432
"Case 7 (WS, 5x5)",WS,128,128,1024,64,5,5,1,2,8,8,64,32,128,128,4128,512,36864,204800,8192,32,838860800,26843545600,26826768384,26843545600,838860800
"Case 8 (IS, 7x7, s2)",IS,128,128,1024,64,7,7,2,3,8,8,64,32,64,64,1056,128,112896,401408,8192,32,411041792,13153337344,268173312,268173312,411041792
"Case 9 (OS, K=256)",OS,128,128,1024,256,3,3,1,1,8,8,64,64,128,128,4160,1024,25600,147456,16384,64,603979776,38654705664,62914560,62914560,603979776
"Case 10 (WS, K=256)",WS,128,128,1024,256,3,3,1,1,16,16,128,128,128,128,528,128,165888,589824,131072,128,301989888,38654705664,38621151232,38654705664,301989888
