label,strategy,unroll,TH,TW,TC,TK,dram_loads,dram_input_loads,dram_weight_loads,dram_stores,sram_input_bytes,sram_weight_bytes,sram_total_bytes,max_PE,num_ps_buffers,sram_input_reads,sram_weight_reads,total_cycles
"Case 01 (WS, TH=TW=4, TC=64, TK=16)",WS,TK,4,4,64,16,151584768,150994944,589824,4096,603979776,2359296,606339072,16,16,603979776,603979776,603979776
"Case 02 (IS, TH=TW=4, TC=64, TK=16)",IS,TK,4,4,64,16,641728512,37748736,603979776,4096,150994944,2415919104,2566914048,16,256,67108864,9663676416,603979776
"Case 03 (OS, TH=TW=4, TC=64, TK=16)",OS,TK,4,4,64,16,754974720,150994944,603979776,4096,603979776,2415919104,3019898880,16,16,603979776,9663676416,603979776
"Case 04 (WS, TH=TW=16, TC=64, TK=16)",WS,TK,16,16,64,16,85524480,84934656,589824,256,339738624,2359296,342097920,16,16,603979776,37748736,603979776
"Case 05 (IS, TH=TW=16, TC=64, TK=16)",IS,TK,16,16,64,16,58982400,21233664,37748736,256,84934656,150994944,235929600,16,4096,67108864,9663676416,603979776
"Case 06 (OS, TH=TW=16, TC=64, TK=16)",OS,TK,16,16,64,16,122683392,84934656,37748736,256,339738624,150994944,490733568,16,16,603979776,9663676416,603979776
"Case 07 (WS, TH=TW=32, TC=64, TK=16)",WS,TK,32,32,64,16,76349440,75759616,589824,64,303038464,2359296,305397760,16,16,603979776,9437184,603979776
"Case 08 (IS, TH=TW=32, TC=64, TK=16)",IS,TK,32,32,64,16,28377088,18939904,9437184,64,75759616,37748736,113508352,16,16384,67108864,9663676416,603979776
"Case 09 (OS, TH=TW=32, TC=64, TK=16)",OS,TK,32,32,64,16,85196800,75759616,9437184,64,303038464,37748736,340787200,16,16,603979776,9663676416,603979776
"Case 10 (WS, TH=TW=8, TC=128, TK=64)",WS,TK,8,8,128,64,26804224,26214400,589824,256,104857600,2359296,107216896,16,16,150994944,150994944,603979776
"Case 11 (IS, TH=TW=8, TC=128, TK=64)",IS,TK,8,8,128,64,177209344,26214400,150994944,256,104857600,603979776,708837376,16,4096,16777216,9663676416,603979776
"Case 12 (OS, TH=TW=8, TC=128, TK=64)",OS,TK,8,8,128,64,177209344,26214400,150994944,256,104857600,603979776,708837376,16,16,150994944,9663676416,603979776
"Case 13 (WS, TH=TW=8, TC=256, TK=16)",WS,TK,8,8,256,16,105447424,104857600,589824,1024,419430400,2359296,421789696,16,16,603979776,150994944,603979776
"Case 14 (IS, TH=TW=8, TC=256, TK=16)",IS,TK,8,8,256,16,177209344,26214400,150994944,1024,104857600,603979776,708837376,16,1024,67108864,9663676416,603979776
"Case 15 (OS, TH=TW=8, TC=256, TK=16)",OS,TK,8,8,256,16,255852544,104857600,150994944,1024,419430400,603979776,1023410176,16,16,603979776,9663676416,603979776
"Case 16 (WS, TH=TW=8, TC=512, TK=16)",WS,TK,8,8,512,16,105447424,104857600,589824,1024,419430400,2359296,421789696,16,16,603979776,150994944,603979776
"Case 17 (IS, TH=TW=8, TC=512, TK=16)",IS,TK,8,8,512,16,177209344,26214400,150994944,1024,104857600,603979776,708837376,16,1024,67108864,9663676416,603979776
"Case 18 (OS, TH=TW=8, TC=512, TK=16)",OS,TK,8,8,512,16,255852544,104857600,150994944,1024,419430400,603979776,1023410176,16,16,603979776,9663676416,603979776
